split,source_line,file_name,annotation_index,class,original_bbox_xywh,cleaned_bbox_xywh,status,image_width,image_height,original_area,cleaned_area
test,1,Rec14_wcp_ss_port_00025_png_jpg.rf.8bcd8614501b883e4cc0612960a04ea1.jpg,0,Crab-Pot,"[9,220,74,64]","[9,220,74,64]",unchanged,640,640,4736,4736.0
test,2,Rec9_wcp_ss_port_00049_png_jpg.rf.4e0cac2a6f42385c79c4abbb0486a92d.jpg,0,Crab-Pot,"[120,54,60,119]","[120,54,60,119]",unchanged,640,640,7140,7140.0
test,2,Rec9_wcp_ss_port_00049_png_jpg.rf.4e0cac2a6f42385c79c4abbb0486a92d.jpg,1,Crab-Pot,"[263,614,71,26]","[263,614,71,26]",unchanged,640,640,1846,1846.0
test,3,Rec9_wcp_ss_port_00031_png_jpg.rf.659168117f9c10ce1633ab78d703548a.jpg,0,Crab-Pot,"[67,213,28,35]","[67,213,28,35]",unchanged,640,640,980,980.0
test,3,Rec9_wcp_ss_port_00031_png_jpg.rf.659168117f9c10ce1633ab78d703548a.jpg,1,Crab-Pot,"[372,96,43,24]","[372,96,43,24]",unchanged,640,640,1032,1032.0
test,4,Rec9_wcp_ss_port_00048_png_jpg.rf.3e076e81d38279293dd919063d9d43f5.jpg,0,Crab-Pot,"[218,599,60,41]","[218,599,60,41]",unchanged,640,640,2460,2460.0
test,5,Rec9_wcp_ss_port_00034_png_jpg.rf.f3c498d9c48da5be2dc7efba1b9ae2b4.jpg,0,Crab-Pot,"[608,584,32,53]","[608,584,32,53]",unchanged,640,640,1696,1696.0
test,6,Rec14_wcp_ss_port_00022_png_jpg.rf.82de6ab5a5773d507a60829bb898cf0e.jpg,0,Crab-Pot,"[0,82,67,80]","[0,82,67,80]",unchanged,640,640,5360,5360.0
test,7,Rec8_wcp_ss_star_00005_png_jpg.rf.c6eea850c75745be259ee9508f05f92a.jpg,0,Crab-Pot,"[16,117,39,25]","[16,117,39,25]",unchanged,640,640,975,975.0
test,7,Rec8_wcp_ss_star_00005_png_jpg.rf.c6eea850c75745be259ee9508f05f92a.jpg,1,Crab-Pot,"[389,262,26,27]","[389,262,26,27]",unchanged,640,640,702,702.0
test,9,Rec9_wcp_ss_port_00060_png_jpg.rf.deeedde69c619a22af3d5766aedcad47.jpg,0,Crab-Pot,"[229,193,26,27]","[229,193,26,27]",unchanged,640,640,702,702.0
test,10,Rec9_wcp_ss_port_00002_png_jpg.rf.356e5e8d16fdd942bcf2a25a98b9e36e.jpg,0,Crab-Pot,"[43,413,139,86]","[43,413,139,86]",unchanged,640,640,11954,11954.0
test,13,Rec9_wcp_ss_port_00042_png_jpg.rf.211f8176ea565d48932535dd64429a0d.jpg,0,Crab-Pot,"[295,34,43,128]","[295,34,43,128]",unchanged,640,640,5504,5504.0
test,13,Rec9_wcp_ss_port_00042_png_jpg.rf.211f8176ea565d48932535dd64429a0d.jpg,1,Crab-Pot,"[22,315,99,49]","[22,315,99,49]",unchanged,640,640,4851,4851.0
test,14,Rec9_wcp_ss_port_00061_png_jpg.rf.8a281a17a94f2c0b1f086aecb94d5db5.jpg,0,Crab-Pot,"[591,511,49,67]","[591,511,49,67]",unchanged,640,640,3283,3283.0
test,15,Rec8_wcp_ss_port_00038_png_jpg.rf.abf24ee39a82624525a003a03733c244.jpg,0,Crab-Pot,"[550,580,34.5,27]","[550,580,34.5,27]",unchanged,640,640,931.5,931.5
test,18,Rec9_wcp_ss_port_00031_png_jpg.rf.7ccd4514792b017269f214df788141db.jpg,0,Crab-Pot,"[64,212,37,41]","[64,212,37,41]",unchanged,640,640,1517,1517.0
test,18,Rec9_wcp_ss_port_00031_png_jpg.rf.7ccd4514792b017269f214df788141db.jpg,1,Crab-Pot,"[378,96,29.5,24.5]","[378,96,29.5,24.5]",unchanged,640,640,722.75,722.75
test,19,Rec8_wcp_ss_star_00005_png_jpg.rf.e8bdbf44b885b6c090a30a9bf1f44b36.jpg,0,Crab-Pot,"[475,38,28.5,37]","[475,38,28.5,37]",unchanged,640,640,1054.5,1054.5
test,20,Rec9_wcp_ss_star_00052_png_jpg.rf.20beefe4ab3cc601d346563b45e4892e.jpg,0,Crab-Pot,"[156,147,64,88]","[156,147,64,88]",unchanged,640,640,5632,5632.0
test,20,Rec9_wcp_ss_star_00052_png_jpg.rf.20beefe4ab3cc601d346563b45e4892e.jpg,1,Crab-Pot,"[594,427,46,86]","[594,427,46,86]",unchanged,640,640,3956,3956.0
